"y2_hhid","plotnum","plot_value","maize_price","maize_value","output_kg_old","output_kg_new","maize_share","crop_count","beans","cash_crop"
"103013004074501","M1",485601.851851852,323.734567901235,485601.851851852,1500,1500,100,1,FALSE,FALSE
"103013004074501","M2",32373.4567901235,323.734567901235,32373.4567901235,100,100,100,1,FALSE,FALSE
"103013301017501","M3",58272.2222222223,323.734567901235,58272.2222222223,180,180,100,1,FALSE,FALSE
"103013301018803","M1",100576.666666667,323.734567901235,69926.6666666668,216,310.676327581275,69.5257349285786,2,FALSE,FALSE
"103013301030001","M1",109522.751322751,323.734567901235,38848.1481481482,120,338.310338722199,35.4703910182707,2,FALSE,FALSE
"103013301032201","M1",161867.283950617,323.734567901235,161867.283950617,500,500,100,1,FALSE,FALSE
"103013301041102","M1",NA,323.734567901235,129493.827160494,400,NA,NA,2,FALSE,FALSE
"103013301065201","M1",NA,323.734567901235,NA,NA,NA,NA,2,FALSE,FALSE
"103013301065201","M2",26908.024691358,323.734567901235,6474.6913580247,20,83.1175517208503,24.0623064394027,2,FALSE,FALSE
"104017304000401","M3",NA,323.734567901235,NA,NA,NA,NA,1,FALSE,FALSE
"104017304003401","M2",64032.7160493827,323.734567901235,12949.3827160494,40,197.793879302126,20.2230726962491,2,FALSE,FALSE
"104017304003407","M3",NA,323.734567901235,NA,NA,NA,NA,3,FALSE,FALSE
"104017304004102","M1",38848.1481481482,323.734567901235,38848.1481481482,120,120,100,1,FALSE,FALSE
"104017304004102","M2",51797.5308641976,323.734567901235,51797.5308641976,160,160,100,1,FALSE,FALSE
"104017304009401","M1",32373.4567901235,323.734567901235,32373.4567901235,100,100,100,1,FALSE,FALSE
"104017304009401","M2",19424.0740740741,323.734567901235,19424.0740740741,60,60,100,1,FALSE,FALSE
"104017304009401","M3",14974.6913580247,323.734567901235,6474.6913580247,20,46.256077795786,43.2375613174492,2,FALSE,FALSE
"104017304009401","M4",31974.6913580247,323.734567901235,6474.6913580247,20,98.7682333873581,20.2494256645881,2,FALSE,FALSE
"104031001010201","M1",74308.8888888889,323.734567901235,23308.8888888889,72,229.536466774716,31.3675648195221,2,FALSE,FALSE
"104031001017402","M2",271937.037037037,323.734567901235,271937.037037037,840,840,100,1,FALSE,FALSE
"104031001017402","M4",322896.296296296,323.734567901235,77696.2962962964,240,997.410620650204,24.0623064394027,2,FALSE,FALSE
"104031001017402","M5",116544.444444445,323.734567901235,116544.444444445,360,360,100,1,FALSE,FALSE
"104031001018001","M2",106282.716049383,323.734567901235,12949.3827160494,40,328.302030698827,12.1839027053398,2,FALSE,FALSE
"104031001074501","M1",46332.0987654321,323.734567901235,25898.7654320988,80,143.11755172085,55.898105465107,2,FALSE,FALSE
"104031001112801","M1",159873.456790123,323.734567901235,32373.4567901235,100,493.84116693679,20.2494256645881,2,FALSE,FALSE
"104031001112801","M2",NA,323.734567901235,NA,NA,NA,NA,2,FALSE,FALSE
"104038003034701","M3",32373.4567901235,323.734567901235,32373.4567901235,100,100,100,1,FALSE,FALSE
"104038003039601","M3",19424.0740740741,323.734567901235,19424.0740740741,60,60,100,1,FALSE,FALSE
"104038003046001","M3",436150.000000001,323.734567901235,174816.666666667,540,1347.24568595672,40.0817761473499,2,FALSE,FALSE
"104038003076801","M1",77696.2962962964,323.734567901235,77696.2962962964,240,240,100,1,FALSE,FALSE
"104038003085401","M2",77696.2962962964,323.734567901235,77696.2962962964,240,240,100,1,FALSE,FALSE
"104038003105701","M5",64746.913580247,323.734567901235,64746.913580247,200,200,100,1,FALSE,FALSE
"104038003110801","M1",NA,323.734567901235,NA,NA,NA,NA,2,FALSE,FALSE
"105009003011401","M3",751949.074074075,323.734567901235,194240.740740741,600,2322.7333396892,25.8316350718195,3,FALSE,FALSE
"105009003034701","M1",77696.2962962964,323.734567901235,77696.2962962964,240,240,100,1,FALSE,FALSE
"105009003034701","M2",38848.1481481482,323.734567901235,38848.1481481482,120,120,100,1,FALSE,FALSE
"105009003039601","M1",107246.913580247,323.734567901235,64746.913580247,200,331.28038897893,60.3718199608611,2,FALSE,FALSE
