"hhid","plotnum","hir.lab.days","fam.lab.days","area.est","area.gps","plot.dist","soil","soilq","eroscont","erosion","irrigation","slope","ownership","land.title","cultivate","pest","pest.kg","pest.unit","pest.type","pest.price","org.fert","org.fert.kg","org.fert.price","fert.type","fert","fert.kg","fert.price","N_share","P_share","K_share","nitrogen.kg","phosphorous.kg","potassium.kg","plot.value","maize.price","maize.value","output.kg.old","output.kg.new","maize.share","crop.count","beans","cash.crop","total.plot","inter.crop","seed.type","soh","aoh","hh.size","own.sh","rent.sh","plots","plot.missing","region","year","voucher"
1020170030241,"M2",0,57,1.21405692672,NA,NA,"Loam","Good","YES","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,503305.555555555,380.555555555555,119875,315,1322.55474452555,23.8175395993156,3,FALSE,FALSE,"NO","YES","TRADITIONAL","Male",31,6,11288000,91500,3,"NO","Dodoma",2008,NA
1020170030241,"M3",0,135,2.83279949568,NA,NA,"Loam","Good","YES","NO","NO","Flat bottom","Rented in",NA,"YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,380.555555555555,215013.888888889,565,NA,NA,2,FALSE,FALSE,"NO","YES","TRADITIONAL","Male",31,6,11288000,91500,3,"NO","Dodoma",2008,NA
1020170030246,"M1",0,27,0.60702846336,0.468199999999999,0.2,"Loam","Average","YES","NO","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",35,4,14000,0,2,"NO","Dodoma",2008,NA
1020170030246,"M2",0,60,1.61874256896,1.9724,1.3,"Loam","Good","YES","NO","NO","Slightly sloped","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",35,4,14000,0,2,"NO","Dodoma",2008,NA
1030130040161,"M1",0,113,1.21405692672,NA,NA,"Clay","Good","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,76111.111111111,380.555555555555,76111.111111111,200,200,100,1,FALSE,FALSE,"YES","NO","IMPROVED","Male",50,7,108000,0,4,"YES","Dodoma",2008,NA
1030130040161,"M2",0,94,0.40468564224,NA,NA,"Loam","Average","NO","NO","NO","Flat top","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",50,7,108000,0,4,"YES","Dodoma",2008,NA
1030130040161,"M3",0,0,0.80937128448,NA,NA,NA,NA,NA,NA,NA,NA,"Owned","NO","NO",NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",50,7,108000,0,4,"YES","Dodoma",2008,NA
1030130040161,"M4",0,0,0.80937128448,NA,NA,NA,NA,NA,NA,NA,NA,"Owned","NO","NO",NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",50,7,108000,0,4,"YES","Dodoma",2008,NA
1030130040219,"M1",0,12,0.60702846336,NA,NA,"Loam","Average","YES","YES","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,121916.666666667,380.555555555555,76111.111111111,200,320.36496350365,62.4287992709045,2,FALSE,FALSE,"YES","YES","TRADITIONAL","Female",43,6,36000,0,4,"NO","Dodoma",2008,NA
1030130040219,"M2",0,58,1.61874256896,NA,NA,"Loam","Average","YES","YES","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",43,6,36000,0,4,"NO","Dodoma",2008,NA
1030130040219,"M3",0,74,2.0234282112,NA,NA,"Sandy","Average","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",43,6,36000,0,4,"NO","Dodoma",2008,NA
1030130040219,"M4",0,12,0.80937128448,NA,NA,"Loam","Average","NO","YES","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",43,6,36000,0,4,"NO","Dodoma",2008,NA
1030130040259,"M1",0,6,0.10117141056,NA,NA,"Loam","Average","NO","NO","NO","Flat bottom","Owned","NO","YES","NO",0,NA,NA,0,"NO",0,0,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,86616.6666666666,380.555555555555,45666.6666666666,120,227.605839416059,52.7227246488358,2,FALSE,FALSE,"YES","YES","TRADITIONAL","Male",40,1,3000,0,2,"NO","Dodoma",2008,NA
