"y2_hhid","plotnum","hir.lab.days","fam.lab.days","area.est","area.gps","plot.dist","main.crop","soil","soilq","eroscont","erosion","slope","irrigation","ownership","land.title","cultivate","org.fert","org.fert.kg","org.fert.price","pest","pest.type","pest.price","pest.kg","nitrogen.kg","phosphorous.kg","potassium.kg","voucher","plot.value","maize.price","maize.value","output.kg.old","output.kg.new","maize.share","crop.count","beans","cash.crop","total.plot","inter.crop","seed.type","soh","aoh","schl","hh.size","own.sh","rent.sh","plots","plot.missing","region","year"
1402009002021701,"M1",15,71,1.61874256896,1.25865435600281,NA,50,"Loam","Average","NO","NO","Flat bottom","NO","Rented in",NA,"YES","NO",0,0,"YES","Herbicide",5000,50,0,0,0,NA,642059.833744127,494.096973233738,320174.838655462,648,1299.46117569191,49.8668226586275,2,FALSE,TRUE,"YES","YES","None purchased","Male",49,1981,3,8000,240000,1,"NO","Tabora",2010
1402009002026301,"M1",0,67,1.61874256896,1.00362133979797,0.2,50,"Loam","Average","NO","NO","Flat bottom","NO","Rented in",NA,"YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,119340.375531575,494.096973233738,35574.9820728291,72,241.532294259006,29.8096783375855,2,FALSE,TRUE,"YES","YES","None purchased","Female",41,1984,4,13500,80000,1,"NO","Tabora",2010
1402009002028301,"M1",20,24,0.80937128448,1.03534865379333,NA,50,"Loam","Average","NO","NO","Flat bottom","NO","Rented in",NA,"YES","NO",0,0,"YES","Pesticide",17500,5,0,0,0,NA,212941.687894824,494.096973233738,24704.8486616869,50,430.971447773047,11.6016966456512,2,FALSE,TRUE,"YES","YES","None purchased","Female",39,1984,7,12000,67000,2,"NO","Tabora",2010
1402009002028301,"M2",0,27,0.40468564224,0.760405004024506,NA,42,"Sandy","Average","NO","NO","Slightly sloped","NO","Rented in",NA,"YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,47529.3073113022,494.096973233738,9881.93946467476,20,96.1942895546093,20.7912549618094,2,FALSE,FALSE,"YES","YES","None purchased","Female",39,1984,7,12000,67000,2,"NO","Tabora",2010
1402009002029701,"M1",0,165,2.0234282112,0.546326100826263,0.1,50,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,287056.233879885,494.096973233738,98819.3946467476,200,580.971447773047,34.4250996785868,2,FALSE,TRUE,"YES","YES","None purchased","Male",29,1998,9,25000,0,1,"NO","Tabora",2010
1402009002032101,"M1",0,383,12.1405692672,16.6528301239014,2.2,11,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,1185832.73576097,494.096973233738,1185832.73576097,2400,2400,100,1,FALSE,FALSE,"NO","NO","None purchased","Male",64,1957,11,1794000,0,1,"NO","Tabora",2010
1402009002033601,"M1",72,417,12.1405692672,10.2426023483276,0.6,11,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"YES","Herbicide",7500,5,0,0,0,NA,4844489.02266882,494.096973233738,642326.065203859,1300,9804.73325097071,13.2589022742796,4,FALSE,TRUE,"NO","YES","None purchased","Male",36,1989,12,11918000,0,1,"NO","Tabora",2010
1402009002045301,"M1",52,34,1.61874256896,3.14036345481873,1,13,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",80,NA,8,6198000,0,3,"NO","Tabora",2010
1402009002045301,"M2",24,60,0.80937128448,1.19787061214447,0.3,42,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,285175.843867813,494.096973233738,59291.6367880486,120,577.165737327656,20.7912549618094,2,FALSE,FALSE,"YES","YES","None purchased","Male",80,NA,8,6198000,0,3,"NO","Tabora",2010
1402009002045301,"M3",24,51,1.0117141056,0.607029020786285,0.1,42,"Loam","Average","NO","NO","Flat bottom","NO","Owned","NO","YES","NO",0,0,"NO",NA,0,0,0,0,0,NA,379708.604734355,494.096973233738,59291.6367880486,120,768.49004406819,15.6150363854749,3,FALSE,FALSE,"YES","YES","None purchased","Male",80,NA,8,6198000,0,3,"NO","Tabora",2010
